Date,Pins,Pinners,Repins,Repins,Impressions,Reach,Clicks,Visitors
2013-12-30,0,0," "," "," "," "," "," "
2013-12-29,0,0," "," "," "," "," "," "
2013-12-28,0,0," "," "," "," "," "," "
2013-12-27,0,0," "," "," "," "," "," "
2013-12-26,0,0," "," "," "," "," "," "
2013-12-25,0,0," "," "," "," "," "," "
2013-12-24,0,0," "," "," "," "," "," "
2013-12-23,0,0," "," "," "," "," "," "
2013-12-22,0,0," "," "," "," "," "," "
2013-12-21,1,1," "," "," "," "," "," "
2013-12-20,0,0," "," "," "," "," "," "
2013-12-19,0,0," "," "," "," "," "," "
2013-12-18,0,0," "," "," "," "," "," "
2013-12-17,0,0," "," "," "," "," "," "
2013-12-16,0,0," "," "," "," "," "," "
2013-12-15,0,0," "," "," "," "," "," "
2013-12-14,0,0," "," "," "," "," "," "
2013-12-13,0,0," "," "," "," "," "," "
2013-12-12,0,0," "," "," "," "," "," "
2013-12-11,0,0," "," "," "," "," "," "
2013-12-10,0,0," "," "," "," "," "," "
2013-12-09,0,0," "," "," "," "," "," "
